Tab( ),Reg( ),f_ID( ),ID( ),n_ID( ),RAJ2000(deg),DEJ2000(deg),Jmag(mag),Hmag(mag),Kmag(mag),phT( ),n_phT( ),Dist(kpc),spT( ),spTK( ),spTD( ),[LDB2002]( ),R-I(mag),CN-TiO(mag),S/N( ),PapI( ),SimbadName( ),recno()
11.0,o, ,86214.0,   ,295.588501,-14.270535,17.46,16.72,16.56,M, ,7.04,dM  ,dM0  ,M0V    ,   ,      ,      ,17.0,PapI,[SRC2012] 295.588501-14.270535,103.0
11.0,o, ,88989.0,   ,295.462524,-14.283733,17.55,16.81,16.63,M, ,7.8,dM  ,dM1.5,M0V    ,   ,      ,      ,12.0,PapI,[SRC2012] 295.462524-14.283733,104.0
11.0,o, ,89016.0,   ,295.571045,-14.283828,17.75,16.98,16.86,M, ,7.08,dM: ,dM1.5,M3V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.571045-14.283828,105.0
11.0,o, ,107892.0,   ,295.808746,-14.380803,17.9,17.17,17.08,M, ,5.06,dK  ,dK7  ,K0III  ,   ,      ,      ,13.0,PapI,[SRC2012] 295.808746-14.380803,106.0
11.0,o, ,112177.0,   ,296.821106,-14.404108,17.67,16.93,16.79,M, ,5.91,dM: ,dM1.5,M1.5V  ,   ,      ,      ,13.0,PapI,[SRC2012] 296.821106-14.404108,107.0
11.0,o, ,117401.0,   ,297.100342,-14.432428,18.51,17.75,17.34,M, ,7.81,dK: ,dK   ,K0V    ,   ,      ,      ,14.0,PapI,[SRC2012] 297.100342-14.432428,108.0
11.0,o, ,127636.0,   ,296.787109,-14.488456,17.8,16.99,16.77,M, ,5.28,dK: ,dK7  ,K2V    ,   ,      ,      ,11.0,PapI,[SRC2012] 296.787109-14.488456,109.0
11.0,o, ,128222.0,   ,297.023987,-14.491783,17.85,17.05,17.02,M, ,7.03,dM: ,dM3.5,M3V    ,   ,      ,      ,11.0,PapI,[SRC2012] 297.023987-14.491783,110.0
11.0,o, ,140011.0,   ,296.800354,-14.549609,17.48,16.73,16.57,M, ,5.14,dM: ,dM3.5,M3V    ,   ,      ,      ,12.0,PapI,[SRC2012] 296.800354-14.549609,111.0
11.0,o, ,143954.0,   ,295.40918,-14.567859,18.05,17.24,17.14,M, ,7.14,dM  ,dM0  ,M0V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.409180-14.567859,112.0
11.0,o, ,146932.0,   ,297.072693,-14.582489,17.77,17.04,16.86,M, ,7.16,dM: ,dM0  ,M0V    ,   ,      ,      ,13.0,PapI,[SRC2012] 297.072693-14.582489,113.0
11.0,o, ,148616.0,   ,296.853027,-14.590661,18.26,17.49,17.34,M, ,5.41,dK: ,dK7  ,K0III  ,   ,      ,      ,13.0,PapI,[SRC2012] 296.853027-14.590661,114.0
11.0,o, ,152918.0,   ,296.812988,-14.611956,18.19,17.45,17.19,M, ,5.03,C:  ,C3.2 ,C      ,   ,      ,      ,11.0,PapI,[SRC2012] 296.812988-14.611956,115.0
11.0,o, ,155389.0,   ,297.11145,-14.624125,17.25,16.5,16.37,M, ,7.39,dM: ,dM1.5,M0V    ,   ,      ,      ,21.0,PapI,[SRC2012] 297.111450-14.624125,116.0
11.0,o, ,157802.0,   ,296.911255,-14.636194,17.79,17.06,16.91,M, ,5.75,dK: ,dK7  ,K0III  ,   ,      ,      ,16.0,PapI,[SRC2012] 296.911255-14.636194,117.0
11.0,o, ,165107.0,   ,297.148376,-14.671167,17.74,17.01,16.82,M, ,7.62,dM: ,dM1.5,M1.5V  ,   ,      ,      ,11.0,PapI,[SRC2012] 297.148376-14.671167,118.0
11.0,o, ,184165.0,   ,295.609711,-14.742889,17.68,16.96,16.69,M, ,5.22,dM: ,dM3.5,M3V    ,   ,      ,      ,12.0,PapI,[SRC2012] 295.609711-14.742889,119.0
11.0,o, ,185402.0,   ,295.516144,-14.746992,16.85,16.11,15.87,M, ,5.99,dMe ,dM1.5,M3V    ,   ,      ,      ,32.0,PapI,[SRC2012] 295.516144-14.746992,120.0
11.0,o, ,200928.0,   ,295.559082,-14.801364,17.6,16.82,16.65,M, ,5.61,dMe:,dM0  ,M0V    ,   ,      ,      ,19.0,PapI,[SRC2012] 295.559082-14.801364,121.0
11.0,o, ,201578.0,   ,295.527863,-14.803578,17.05,16.29,16.12,M, ,5.87,dMe:,dM1.5,M3V    ,   ,      ,      ,25.0,PapI,[SRC2012] 295.527863-14.803578,122.0
11.0,o, ,201803.0,   ,295.621918,-14.804337,17.94,17.17,16.95,M, ,5.09,dM: ,dM1.5,M3V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.621918-14.804337,123.0
11.0,o, ,208174.0,   ,295.512543,-14.826831,17.85,17.13,17.01,M, ,6.0,dMe ,dM1.5,M0V    ,   ,      ,      ,16.0,PapI,[SRC2012] 295.512543-14.826831,124.0
11.0,o, ,215764.0,   ,295.524353,-14.855192,18.01,17.16,17.11,M, ,5.91,dMe:,dM1.5,M0V    ,   ,      ,      ,10.0,PapI,[SRC2012] 295.524353-14.855192,125.0
11.0,o, ,220386.0,   ,295.535919,-14.873045,17.77,17.04,16.99,M, ,5.83,dK  ,dK7  ,K0IV   ,   ,      ,      ,19.0,PapI,[SRC2012] 295.535919-14.873045,126.0
11.0,o, ,223551.0,   ,295.621216,-14.885853,18.13,17.32,17.13,M, ,5.14,dK  ,dK7  ,K0III  ,   ,      ,      ,13.0,PapI,[SRC2012] 295.621216-14.885853,127.0
11.0,o, ,223794.0,   ,295.547546,-14.886919,17.05,16.32,16.13,M, ,5.75,dM  ,dM3.5,M3V    ,   ,      ,      ,20.0,PapI,[SRC2012] 295.547546-14.886919,128.0
11.0,o, ,234263.0,   ,295.540558,-14.933914,17.48,16.74,16.64,M, ,5.87,dM: ,dM1.5,M0V    ,   ,      ,      ,17.0,PapI,[SRC2012] 295.540558-14.933914,129.0
11.0,o, ,246831.0,   ,295.639313,-14.980222,17.65,16.92,16.77,M, ,5.17,dK: ,dK7  ,M0V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.639313-14.980222,130.0
11.0,o, ,254251.0,   ,295.404724,-15.01522,16.36,15.6,15.48,M, ,7.12,dK  ,dK7  ,K2V    ,   ,      ,      ,31.0,PapI,[SRC2012] 295.404724-15.015220,131.0
11.0,o, ,276398.0,   ,295.72052,-15.125569,17.63,16.68,16.07,C, ,5.08,C:  ,C6.5 ,C      ,   ,      ,      ,13.0,PapI,[SRC2012] 295.720520-15.125569,132.0
11.0,o, ,277183.0,   ,295.640228,-15.129666,16.22,15.48,15.26,M, ,5.67,dM  ,dM1.5,M3V    ,   ,      ,      ,23.0,PapI,[SRC2012] 295.640228-15.129666,133.0
11.0,o, ,286135.0,   ,295.417267,-15.171911,17.02,16.3,16.09,M, ,7.48,dM  ,dM0  ,M0V    ,   ,      ,      ,12.0,PapI,[SRC2012] 295.417267-15.171911,134.0
11.0,o, ,289833.0,   ,295.405945,-15.189603,16.94,16.17,16.03,M, ,7.62,dK  ,dK7  ,K0IV   ,   ,      ,      ,30.0,PapI,[SRC2012] 295.405945-15.189603,135.0
11.0,o, ,292760.0,   ,296.767883,-15.204441,15.14,14.4,14.22,M, ,5.57,dM  ,dM2  ,M1.5V  ,   ,      ,      ,70.0,PapI,[SRC2012] 296.767883-15.204441,136.0
11.0,o, ,297583.0,   ,295.799805,-15.229388,17.06,16.31,16.16,M, ,5.14,dM  ,dM0  ,M0V    ,   ,      ,      ,39.0,PapI,[SRC2012] 295.799805-15.229388,137.0
11.0,o, ,298121.0,   ,295.47818,-15.232033,17.0,16.27,16.15,M, ,7.27,dM: ,dM1.5,M3V    ,   ,      ,      ,14.0,PapI,[SRC2012] 295.478180-15.232033,138.0
11.0,o, ,299996.0,   ,295.776978,-15.241439,18.24,17.41,17.25,M, ,5.34,C:  ,C3.2 ,S      ,   ,      ,      ,10.0,PapI,[SRC2012] 295.776978-15.241439,139.0
11.0,o, ,303122.0,   ,295.743439,-15.257809,18.33,17.57,17.29,M, ,5.64,dM  ,dM0  ,M0V    ,   ,      ,      ,12.0,PapI,[SRC2012] 295.743439-15.257809,140.0
11.0,o, ,305736.0,   ,295.49173,-15.271272,17.58,16.83,16.68,M, ,7.35,dK  ,dK7  ,K0IV   ,   ,      ,      ,13.0,PapI,[SRC2012] 295.491730-15.271272,141.0
11.0,o, ,309370.0,   ,295.872925,-15.289667,17.27,16.44,16.29,M, ,5.14,dM  ,dM1.5,M3V    ,   ,      ,      ,18.0,PapI,[SRC2012] 295.872925-15.289667,142.0
11.0,o, ,312062.0,   ,295.534882,-15.303519,17.08,16.33,16.18,M, ,7.21,dM: ,dM1.5,M3V    ,   ,      ,      ,17.0,PapI,[SRC2012] 295.534882-15.303519,143.0
11.0,o, ,312215.0,   ,295.499207,-15.304358,17.58,16.76,16.75,M, ,7.45,dK  ,dK7  ,K0IV   ,   ,      ,      ,14.0,PapI,[SRC2012] 295.499207-15.304358,144.0
11.0,o, ,313097.0,   ,295.87912,-15.309017,17.9,17.11,16.88,M, ,5.24,dK  ,dK7  ,K2V    ,   ,      ,      ,15.0,PapI,[SRC2012] 295.879120-15.309017,145.0
11.0,o, ,317557.0,   ,295.794037,-15.329094,17.83,17.03,16.78,M, ,5.8,dK: ,dK7  ,K0IV   ,   ,      ,      ,14.0,PapI,[SRC2012] 295.794037-15.329094,146.0
11.0,o, ,317678.0,   ,295.949036,-15.329528,18.11,17.33,17.07,M, ,5.09,dM: ,dM0  ,M0V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.949036-15.329528,147.0
11.0,o, ,318572.0,   ,295.576233,-15.333383,16.93,16.21,16.05,M, ,7.1,dK  ,dK7  ,M0V    ,   ,      ,      ,23.0,PapI,[SRC2012] 295.576233-15.333383,148.0
11.0,o, ,319631.0,   ,295.897827,-15.337833,17.39,16.57,16.39,M, ,5.37,dM: ,dM3.5,M3V    ,   ,      ,      ,26.0,PapI,[SRC2012] 295.897827-15.337833,149.0
11.0,o, ,324005.0,   ,295.537048,-15.357962,17.1,16.37,16.11,M, ,7.48,dM: ,dM4.5,M3V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.537048-15.357962,150.0
11.0,o, ,324064.0,   ,295.966644,-15.358248,18.35,17.4,17.07,C, ,5.25,dM: ,dM2  ,M1.5V  ,   ,      ,      ,11.0,PapI,[SRC2012] 295.966644-15.358248,151.0
11.0,o, ,327377.0,   ,296.011719,-15.374639,17.91,17.1,17.16,M, ,5.23,dK  ,dK7  ,K2V    ,   ,      ,      ,14.0,PapI,[SRC2012] 296.011719-15.374639,152.0
11.0,o, ,329347.0,   ,295.516876,-15.380892,17.16,16.36,16.24,M, ,7.74,dM: ,dM1.5,M0V    ,   ,      ,      ,15.0,PapI,[SRC2012] 295.516876-15.380892,153.0
11.0,o, ,330842.0,   ,296.342438,-15.386158,18.09,17.26,17.22,M, ,5.06,dM  ,dM1.5,M3V    ,   ,      ,      ,12.0,PapI,[SRC2012] 296.342438-15.386158,154.0
11.0,o, ,332677.0,   ,295.648956,-15.39533,17.62,16.89,16.7,M, ,7.02,dM: ,dM1.5,M0V    ,   ,      ,      ,14.0,PapI,[SRC2012] 295.648956-15.395330,155.0
11.0,o, ,344297.0,   ,296.123199,-15.455264,17.35,16.6,16.47,M, ,5.66,dM  ,dM1.5,M1.5V  ,   ,      ,      ,12.0,PapI,[SRC2012] 296.123199-15.455264,156.0
11.0,o, ,344467.0,   ,296.182312,-15.456194,17.68,16.95,16.8,M, ,5.6,dK  ,dK7  ,K0V    ,   ,      ,      ,23.0,PapI,[SRC2012] 296.182312-15.456194,157.0
11.0,o, ,346806.0,   ,296.019073,-15.468775,18.21,17.31,16.65,C, ,5.97,Uncl,dK7  ,K0IV   ,   ,      ,      ,11.0,PapI,[SRC2012] 296.019073-15.468775,158.0
11.0,o, ,350411.0,   ,295.58786,-15.487622,17.33,16.58,16.51,M, ,7.94,dK  ,dK7  ,K3III  ,   ,      ,      ,15.0,PapI,[SRC2012] 295.587860-15.487622,159.0
11.0,o, ,355390.0,   ,295.772949,-15.513988,17.73,17.01,16.74,M, ,7.19,dM: ,dM3  ,M1.5III,   ,      ,      ,14.0,PapI,[SRC2012] 295.772949-15.513988,160.0
11.0,o, ,366911.0,   ,296.781189,-15.567519,17.99,17.2,17.12,M, ,7.93,dM  ,dM0  ,M0V    ,   ,      ,      ,10.0,PapI,[SRC2012] 296.781189-15.567519,161.0
11.0,o, ,368750.0,   ,296.538513,-15.576294,17.82,17.06,16.87,M, ,7.06,dM: ,dM1.5,M1.5V  ,   ,      ,      ,12.0,PapI,[SRC2012] 296.538513-15.576294,162.0
12.0,i, ,158986.0,   ,296.190338,-14.641755,17.59,16.78,16.4,M, ,1.43,C   ,C5.5 ,C      ,239.0,1.196,0.366,8.0,PapI,[SRC2012] 296.190338-14.641755,163.0
12.0,i, ,164010.0,   ,296.32608,-14.666169,17.58,16.8,16.51,M, ,1.38,C   ,C5.5 ,C      ,792.0,1.116,0.339,9.0,PapI,[SRC2012] 296.326141-14.666169,164.0
12.0,i, ,167230.0,4.0,296.335388,-14.681108,18.39,17.51,17.1,C,*,1.32,C   ,C5.5 ,C      ,804.0,1.276,0.402,10.0,PapI,[SRC2012] 296.335388-14.681108,165.0
12.0,i, ,170004.0,   ,296.110596,-14.693192,     ,16.87,     ,U,*,1.41,C   ,dK7  ,K0IV   ,80.0,1.426,0.67,9.0,PapI,[LDB2002]   80                ,166.0
12.0,i, ,172060.0,   ,296.196411,-14.702325,17.75,16.37,15.1,C,*,0.93,dK  ,dK7  ,K0IV   ,258.0,1.848,0.507,9.0,PapI,[LDB2002]  258                ,167.0
12.0,i, ,172656.0,   ,296.539612,-14.704988,17.59,16.48,15.73,C,*,2.64,C   ,C5.5 ,C      ,900.0,1.594,0.531,7.0,PapI,[SRC2012] 296.539612-14.704991,168.0
12.0,i, ,173378.0,   ,296.099152,-14.708244,17.48,16.63,16.27,C,*,1.4,C   ,C5.5 ,C      ,64.0,1.171,0.454,10.0,PapI,[SRC2012] 296.099152-14.708244,169.0
12.0,i, ,174035.0,   ,296.374054,-14.711063,17.55,16.85,16.52,M,*,1.38,C   ,C    ,C      ,845.0,1.12,0.414,7.0,PapI,[LDB2002]  845                ,170.0
12.0,i, ,174226.0,   ,296.075775,-14.711885,18.14,17.39,17.1,M, ,1.55,C   ,C    ,C      ,42.0,1.158,0.373,8.0,PapI,[SRC2012] 296.075775-14.711885,171.0
12.0,i, ,174472.0,   ,296.341431,-14.712852,17.32,16.39,15.85,C,*,1.16,C   ,C5.5 ,C      ,814.0,1.355,0.558,10.0,PapI,[SRC2012] 296.341431-14.712852,172.0
12.0,i, ,178893.0,   ,296.110779,-14.725801,17.15,16.18,15.45,C,*,1.24,C   ,C6.5 ,C      ,82.0,1.48,0.456,9.0,PapI,[SRC2012] 296.110779-14.725800,173.0
12.0,i, ,179183.0,   ,295.977081,-14.726664,17.58,16.77,16.22,C,*,2.25,C   ,C5.5 ,C      ,7.0,1.255,0.423,8.0,PapI,[SRC2012] 295.977112-14.726664,174.0
12.0,i, ,183391.0,   ,296.08786,-14.740214,17.23,18.14,15.9,C,*,1.35,C   ,C6.5 ,C      ,53.0,1.266,0.37,10.0,PapI,[SRC2012] 296.087952-14.740217,175.0
12.0,i, ,184858.0,4.0,296.171387,-14.745203,18.02,17.23,16.97,M, ,0.74,C   ,dK7  ,K4III  ,181.0,1.121,0.375,8.0,PapI,[SRC2012] 296.171234-14.745203,176.0
12.0,i, ,186954.0,   ,296.469086,-14.752255,     ,17.74,16.28,U,*,1.96,dK  ,dK   ,K2V    ,887.0,1.931,0.415,10.0,PapI,[SRC2012] 296.469177-14.752258,177.0
12.0,i, ,190283.0,   ,296.342804,-14.764064,18.2,17.41,17.02,M, ,0.93,C   ,C5.5 ,C      ,815.0,1.222,0.354,7.0,PapI,[SRC2012] 296.342804-14.764064,178.0
12.0,i, ,191195.0,   ,296.106384,-14.767224,17.62,16.8,16.58,M, ,1.13,C   ,C5.5 ,S      ,72.0,1.183,0.425,8.0,PapI,[SRC2012] 296.106232-14.767224,179.0
12.0,i, ,191382.0,   ,296.304626,-14.767883,17.76,17.03,16.59,M,*,0.63,C   ,C    ,K0III  ,759.0,1.124,0.455,8.0,PapI,[SRC2012] 296.304626-14.767883,180.0
12.0,i, ,192177.0,   ,296.333038,-14.770712,18.24,17.51,17.25,M, ,0.84,C   ,C3.2 ,C      ,803.0,1.194,0.392,8.0,PapI,[SRC2012] 296.333191-14.770717,181.0
12.0,i, ,207096.0,   ,296.162018,-14.82305,17.45,16.64,16.28,M, ,0.65,C   ,C5.5 ,C      ,154.0,1.176,0.544,9.0,PapI,[SRC2012] 296.162018-14.823047,182.0
12.0,i, ,212351.0,   ,296.167816,-14.842195,17.72,16.99,16.6,M, ,0.67,C   ,C    ,K0III  ,169.0,1.122,0.438,10.0,PapI,[SRC2012] 296.167969-14.842195,183.0
12.0,i, ,212970.0,   ,296.066071,-14.844581,17.44,16.78,16.3,M,*,1.46,C   ,C5.5 ,C      ,34.0,1.151,0.446,10.0,PapI,[LDB2002]   34                ,184.0
12.0,i, ,218420.0,   ,296.364624,-14.865284,17.45,16.57,16.19,C,*,1.18,C   ,C3.2 ,C      ,836.0,1.155,0.478,9.0,PapI,[SRC2012] 296.364624-14.865281,185.0
12.0,i, ,219598.0,   ,296.297241,-14.869897,17.49,16.7,16.21,C,*,0.76,C   ,C5.5 ,C      ,747.0,1.129,0.375,10.0,PapI,[SRC2012] 296.297241-14.869897,186.0
12.0,i, ,226097.0,4.0,296.207458,-14.896397,17.39,16.58,16.2,M, ,0.84,C   ,C5.5 ,C      ,308.0,1.179,0.564,10.0,PapI,[SRC2012] 296.207458-14.896397,187.0
12.0,i, ,229856.0,   ,296.368011,-14.913227,16.96,15.87,15.15,C,*,1.43,C   ,C5.5 ,S      ,839.0,1.701,0.356,7.0,PapI,[SRC2012] 296.368103-14.913227,188.0
12.0,i, ,237395.0,   ,296.070709,-14.94352,     ,18.45,     ,U,*,1.83,C   ,dK   ,K0III  ,37.0,1.349,0.441,6.0,PapI,[LDB2002]   37                ,189.0
12.0,i, ,237999.0,   ,296.08905,-14.945495,18.64,     ,15.9,C,*,1.73,C   ,C5.5 ,C      ,54.0,1.588,0.303,7.0,PapI,[LDB2002]   54                ,190.0
12.0,i, ,240673.0,   ,296.06134,-14.955141,18.23,17.2,17.1,M,*,1.95,C   ,C5.5 ,C      ,31.0,1.263,0.442,8.0,PapI,[SRC2012] 296.061340-14.955141,191.0
12.0,i, ,245610.0,2.0,295.969788,-14.97507,17.69,16.93,16.6,M, ,2.66,C   ,C5.5 ,C      ,5.0,1.161,0.42,8.0,PapI,[SRC2012] 295.969849-14.975075,192.0
12.0,i, ,250173.0,   ,296.215485,-14.99597,     ,18.06,16.76,U,*,1.66,C   ,C5.5 ,K0V    ,342.0,1.305,0.445,7.0,PapI,[SRC2012] 296.215393-14.995970,193.0
12.0,i, ,253239.0,   ,296.090485,-15.010141,18.2,16.77,16.74,C,*,2.15,C   ,C5.5 ,C      ,56.0,1.199,0.37,9.0,PapI,[SRC2012] 296.090515-15.010141,194.0
12.0,o, ,21034.0,   ,296.250183,-13.941045,18.11,17.39,17.26,M, ,7.37,dK  ,dK7  ,K0V    ,   ,      ,      ,8.0,PapI,[SRC2012] 296.250183-13.941045,195.0
12.0,o, ,32087.0,   ,296.552612,-13.999165,17.52,16.76,16.61,M, ,7.36,dK  ,dM0  ,M0V    ,   ,      ,      ,8.0,PapI,[SRC2012] 296.552612-13.999165,196.0
12.0,o, ,62395.0,   ,296.365326,-14.149378,17.16,16.39,16.28,M, ,5.69,dM  ,dM1.5,M1.5V  ,   ,      ,      ,9.0,PapI,[SRC2012] 296.365326-14.149378,197.0
12.0,o, ,98241.0,   ,296.653442,-14.330378,17.62,16.87,16.78,M, ,5.31,dM  ,dM2  ,M1.5V  ,   ,      ,      ,9.0,PapI,[SRC2012] 296.653442-14.330378,198.0
12.0,o, ,101637.0,   ,295.688538,-14.347858,18.14,17.41,17.14,M, ,5.98,dM  ,K7III,M0III  ,   ,      ,      ,8.0,PapI,[SRC2012] 295.688538-14.347858,199.0
12.0,o, ,222762.0,   ,295.594513,-14.882525,17.85,17.06,16.8,M, ,5.36,dM  ,dM3.5,M3V    ,   ,      ,      ,10.0,PapI,[SRC2012] 295.594513-14.882525,200.0
12.0,o, ,302586.0,   ,297.015076,-15.255167,18.22,17.49,17.35,M, ,7.5,dM  ,dM2  ,M1.5V  ,   ,      ,      ,7.0,PapI,[SRC2012] 297.015076-15.255167,201.0
12.0,o, ,303607.0,   ,295.81015,-15.260356,18.27,17.55,17.34,M, ,5.27,dM  ,K7III,K4III  ,   ,      ,      ,7.0,PapI,[SRC2012] 295.810150-15.260356,202.0
12.0,o, ,334393.0,   ,296.061401,-15.403897,17.71,16.95,16.74,M, ,5.34,dM  ,dM3.5,M3V    ,   ,      ,      ,8.0,PapI,[SRC2012] 296.061401-15.403897,203.0
12.0,o, ,337831.0,   ,295.923065,-15.421967,18.42,17.67,17.39,M, ,5.9,dK  ,dK7  ,K0IV   ,   ,      ,      ,10.0,PapI,[SRC2012] 295.923065-15.421967,204.0
12.0,o, ,372253.0,   ,295.796112,-15.593744,18.17,17.44,17.29,M, ,7.68,dK  ,dK7  ,K0IV   ,   ,      ,      ,8.0,PapI,[SRC2012] 295.796112-15.593744,205.0
