#,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG
0,10870.0,296.17892,-14.82286,17.52,0.04,16.53,0.04,16.19,0.05,S,0.05530083634088521
1,10784.0,296.21545,-14.83469,17.45,0.03,16.53,0.04,16.2,0.06,S,0.03608355442582214
2,11004.0,296.27341,-14.80861,17.6,0.03,16.62,0.03,16.27,0.05,S,0.04396125225695369
3,11029.0,296.28308,-14.80497,17.46,0.03,16.55,0.02,16.22,0.05,S,0.053182482078184164
4,12050.0,296.25427,-14.81764,18.17,0.07,17.25,0.1,16.7,0.05,S,0.029052948215286208
5,30528.0,296.19156,-14.89296,17.76,0.06,16.85,0.04,16.51,0.1,S,0.09905300449760711
6,10326.0,296.25522,-14.82579,16.82,0.03,15.86,0.03,15.52,0.02,S,0.034897317948511516
7,10293.0,296.29922,-14.8365,17.87,0.88,16.35,0.72,14.98,0.07,LAV,0.07748894953473186
8,10310.0,296.19168,-14.82965,18.32,0.31,16.8,0.19,15.67,0.1,LAV,0.047447895632999115
9,10371.0,296.28415,-14.81194,17.33,0.16,15.94,0.12,15.04,0.07,LAV,0.055115291888905266
10,10501.0,296.23456,-14.7733,18.0,0.37,16.56,0.32,15.48,0.27,LAV,0.02873413475293208
11,10968.0,296.20154,-14.81282,19.18,0.6,17.3,0.3,15.91,0.2,LAV,0.030566224824138125
12,11391.0,296.18323,-14.76308,18.39,0.32,16.94,0.18,15.82,0.14,LAV,0.060635146573612485
13,11401.0,296.27222,-14.76143,18.09,0.24,16.73,0.17,15.62,0.07,LAV,0.05832483176142685
14,11403.0,296.22778,-14.76111,18.35,0.34,17.01,0.15,16.18,0.09,LAV,0.04062070900415255
15,11991.0,296.27774,-14.82287,18.46,0.18,17.17,0.22,16.13,0.2,LAV,0.052235501337670104
16,12070.0,296.24905,-14.81619,17.49,0.09,16.92,0.21,15.98,0.27,LAV,0.02395272218349635
17,12660.0,296.25348,-14.76936,18.38,0.35,16.83,0.3,15.54,0.27,LAV,0.039940537051975554
18,12711.0,296.24728,-14.76419,18.94,1.05,17.79,0.92,16.8,0.63,LAV,0.04127164644158301
19,13390.0,296.24246,-14.82114,19.99,0.74,18.4,0.44,16.77,0.21,LAV,0.023115633238122723
20,14105.0,296.17993,-14.75767,19.23,0.39,17.44,0.33,15.98,0.26,LAV,0.06665586920894934
21,20438.0,296.27051,-14.73481,19.39,0.38,17.7,0.27,16.08,0.21,LAV,0.07817493012468046
22,20608.0,296.18378,-14.68249,19.57,1.4,17.64,0.95,16.06,0.67,LAV,0.1278286384187851
23,20614.0,296.2677,-14.68061,19.6,1.62,17.6,0.76,16.3,0.53,LAV,0.12679437526955964
24,21316.0,296.17764,-14.6424,18.63,0.79,17.47,0.64,16.42,0.45,LAV,0.16765590505556924
25,30767.0,296.26511,-14.96155,18.07,0.4,17.09,0.3,16.45,0.2,LAV,0.16368972631169795
26,30924.0,296.21112,-14.91074,19.46,0.36,17.55,0.2,16.25,0.13,LAV,0.11069200196943367
27,30961.0,296.30179,-14.90356,19.75,0.26,17.75,0.18,15.96,0.44,LAV,0.1246409892450918
28,40030.0,296.18011,-14.75091,17.02,0.16,16.27,0.2,15.81,0.12,LAV,0.07117295624041847
29,40275.0,296.22681,-14.75065,17.13,0.34,15.92,0.29,15.11,0.28,LAV,0.051119629302255824
30,40327.0,296.23346,-14.74996,17.71,0.18,16.93,0.23,16.52,0.18,LAV,0.05182562783025136
31,40419.0,296.24622,-14.86655,17.98,0.08,16.67,0.06,15.79,0.08,LAV,0.06687677324751304
32,40493.0,296.26105,-14.73764,18.29,0.15,16.78,0.16,15.38,0.19,LAV,0.07116138981216885
33,40538.0,296.2731,-14.75146,17.31,0.16,16.57,0.17,15.96,0.2,LAV,0.06617139941091145
34,12557.0,296.18398,-14.78018,18.23,,17.51,,17.12,,O,0.050790358336990235
35,11226.0,296.25229,-14.78475,17.49,,16.54,,16.08,,O,0.027984468906875493
36,20331.0,296.20415,-14.63486,16.58,,15.91,,15.46,,O,0.168801062200448
37,10184.0,296.22364,-14.77473,16.44,,15.58,,15.13,,O,0.027680556352796776
38,30133.0,296.21816,-14.88035,16.3,,15.53,,15.09,,O,0.07956587208093809
39,20134.0,296.21322,-14.68097,16.35,,15.55,,15.07,,O,0.12186081568741111
40,40363.0,296.23649,-14.85697,19.18,,17.73,,16.32,,C,0.05567953035002986
41,10198.0,296.25088,-14.76786,15.5,,14.68,,14.19,,O,0.0397377717039968
42,30292.0,296.18801,-14.87231,15.88,,15.19,,14.68,,O,0.08217767154160549
43,10091.0,296.26702,-14.76311,15.46,,14.67,,14.18,,O,0.053454223406563944
44,20004.0,296.21293,-14.73224,13.72,,12.97,,12.57,,O,0.0714976209394527
45,10817.0,296.23639,-14.83054,17.7,,16.76,,16.04,,LPV,0.029568716576804228
46,12751.0,296.21027,-14.75973,17.89,,16.91,,16.29,,LPV,0.046349072266891535
47,11032.0,296.18048,-14.80431,18.2,,16.91,,15.94,,LPV,0.049590321636413325
48,10748.0,296.17438,-14.83893,18.58,,17.16,,16.11,,LPV,0.0669469342091456
49,12208.0,296.23352,-14.80653,17.87,,16.61,,15.62,,LPV,0.0060008332754601275
50,21419.0,296.27563,-14.74923,19.93,,18.27,,16.57,,LPV,0.06951295203051189
51,13364.0,296.19489,-14.82267,18.1,,16.85,,15.86,,LPV,0.04091102663099822
52,20239.0,296.22632,-14.72554,18.04,,16.71,,15.66,,LPV,0.07621889070302781
53,20558.0,296.19647,-14.70265,18.21,,16.6,,15.31,,LPV,0.10454291606800853
54,20840.0,296.30347,-14.74166,18.7,,17.18,,15.98,,LPV,0.09486327529659716
55,12466.0,296.17462,-14.78854,18.42,,17.09,,16.03,,LPV,0.056915211499225155
56,40114.0,296.19916,-14.8616,20.21,,18.61,,16.99,,LPV,0.0673996327883223
57,11059.0,296.21259,-14.80142,18.38,,16.9,,15.79,,LPV,0.017411794852955846
58,11296.0,296.21729,-14.77647,18.37,,16.99,,15.78,,LPV,0.028223821498880645
59,30928.0,296.22229,-14.90997,18.95,,17.42,,16.28,,LPV,0.10857409497665844
60,13106.0,296.24048,-14.84939,19.1,,17.38,,15.96,,LPV,0.0488572287384316
61,11305.0,296.17957,-14.77527,18.02,,16.56,,15.45,,LPV,0.05692227068556313
62,30920.0,296.24246,-14.91158,18.95,,17.21,,15.86,,LPV,0.11061401222268195
63,11140.0,296.22876,-14.79337,18.75,,17.25,,15.93,,LPV,0.008392115347157269
64,20439.0,296.2464,-14.73473,19.15,,17.32,,15.77,,LPV,0.06891968949436049
65,10753.0,296.24295,-14.83836,18.4,,17.06,,15.88,,LPV,0.03890833586777687
66,40520.0,296.26687,-14.74039,18.41,,16.86,,15.51,,LPV,0.07151667847430702
67,31168.0,296.23883,-14.87026,19.49,,17.5,,15.82,,LPV,0.06915603372085372
68,21671.0,296.26569,-14.72024,19.78,,17.78,,16.16,,LPV,0.08890793552883249
69,11174.0,296.21774,-14.78943,19.12,,17.42,,15.9,,LPV,0.017324121911388383
70,20569.0,296.29114,-14.6977,19.24,,17.62,,16.03,,LPV,0.12061451197926368
71,12445.0,296.21661,-14.79057,20.26,,18.34,,16.43,,LPV,0.01739258750158781
72,21141.0,296.29965,-14.69757,18.16,,16.62,,15.42,,LPV,0.12525147703718004
73,21234.0,296.28125,-14.67393,20.16,,18.21,,16.25,,LPV,0.13763745892742263
74,12147.0,296.28897,-14.81087,19.93,,17.89,,16.24,,LPV,0.05968333854601785
75,11299.0,296.25732,-14.77645,19.06,,17.3,,15.73,,LPV,0.03718105431531728
76,13293.0,296.25696,-14.83051,20.3,,18.37,,16.42,,LPV,0.03947894628784615
77,21029.0,296.19858,-14.71837,19.11,,17.07,,15.55,,LPV,0.08902868301846052
78,40102.0,296.19682,-14.75119,19.69,,17.43,,15.69,,LPV,0.06040813521373654
79,12177.0,296.28424,-14.80892,20.5,,18.1,,16.1,,LPV,0.054722391212366155
80,10807.0,296.21631,-14.83196,20.37,,18,,15.89,,LPV,0.03324003910948307
81,40623.0,296.29793,-14.74687,20.4,,18.08,,16.11,,LPV,0.0872784331894119
82,30268.0,296.25891,-14.88796,16.73,,15.44,,14.45,,LPV,0.09100413287318207
83,20540.0,296.18011,-14.71067,17.88,,16.89,,16.39,,C,0.10377866881011896
84,40590.0,296.28567,-14.73952,18.01,,17.04,,16.39,,C,0.08343723029916464
85,20578.0,296.29065,-14.69641,17.8,,16.82,,16.14,,C,0.12148287986379422
86,20542.0,296.17703,-14.71031,17.84,,16.76,,16.02,,C,0.10560525791835221
87,30430.0,296.21802,-14.92573,17.67,,16.56,,15.86,,C,0.12463708918295498
88,12400.0,296.17468,-14.79389,18.0,,16.75,,15.88,,C,0.05586439653302826
89,30583.0,296.30014,-14.87872,18.37,,17.07,,15.88,,C,0.10419367591172354
90,20375.0,296.18277,-14.74815,18.03,,16.62,,15.59,,C,0.0713797121036582
91,20657.0,296.22934,-14.65254,17.98,,16.59,,15.56,,C,0.14913146046357864
92,20588.0,296.29919,-14.69143,17.56,,16.22,,15.16,,C,0.13015419201853895
93,,296.22287,-14.71018,17.6,,16.76,,16.37,,C,0.09176740706808877
94,,296.22888,-14.72012,17.5,,16.56,,16.3,,C,0.08155769062449006
95,,296.22033,-14.72841,18.26,,17.25,,17.15,,C,0.07389544302594352
96,,296.12738,-14.73369,17.56,,16.81,,16.41,,C,0.12309404859699921
97,,296.31088,-14.73645,17.18,,16.31,,15.91,,C,0.10390006159765566
98,,296.28564,-14.74075,16.67,,15.62,,15.09,,C,0.0825048847038646
99,,296.18609,-14.7787,16.72,,15.9,,15.54,,C,0.049555110735457125
100,,296.24578,-14.7865,17.58,,16.73,,16.46,,C,0.021889205102063228
101,,296.23651,-14.79789,17.25,,16.52,,16.22,,C,0.007527848298144885
102,,296.22512,-14.86821,17.31,,16.58,,16.32,,C,0.06671870802106493
103,,296.21267,-14.87307,17.66,,16.8,,16.47,,C,0.07347304880022752
104,,296.117004,-14.632751,16.46,,15.59,,15.26,,C,0.20322825732904817
105,,296.233887,-14.671288,17.14,,16.26,,16.01,,C,0.1304399275260435
106,,295.968842,-14.682981,16.82,,16.02,,15.68,,C,0.28686334670886765
107,,296.259827,-14.684196,17.31,,16.47,,16.21,,C,0.12120144638162209
108,,296.411377,-14.685686,17.47,,16.58,,16.11,,C,0.21529027935556908
109,,296.156006,-14.687428,17.31,,16.25,,15.68,,C,0.1361115226569883
110,,296.179413,-14.688039,17.24,,16.35,,16.08,,C,0.12438267053734091
111,,296.248596,-14.689795,17.26,,16.43,,16.11,,C,0.11340999444934284
112,,295.969452,-14.694445,17.32,,16.4,,16.13,,C,0.2817489324363355
113,,296.350922,-14.720666,17.05,,16.13,,15.75,,C,0.1455464808918504
114,,296.375854,-14.73088,16.15,,15.33,,15.03,,C,0.1621253015910708
115,,296.436554,-14.743853,17.45,,16.68,,16.56,,C,0.2144932642415442
116,,296.485382,-14.756809,16.74,,15.93,,15.63,,C,0.25929225835916997
117,,296.131714,-14.759347,17.37,,16.47,,16.18,,C,0.10701109346701342
118,,296.112915,-14.776258,17.35,,16.46,,15.92,,C,0.11981096347583271
119,,296.152313,-14.788395,17.14,,16.3,,15.98,,C,0.07881304202988243
120,,296.283356,-14.789384,17.47,,16.75,,16.45,,C,0.05475224682148522
121,,296.374786,-14.798067,17.73,,16.79,,16.55,,C,0.14483082339400885
122,,296.170349,-14.798781,17.4,,16.44,,15.76,,C,0.05972091862993794
123,,296.073059,-14.801702,17.62,,16.74,,16.46,,C,0.15694100326239
124,,296.160095,-14.802064,17.38,,16.61,,16.35,,C,0.06990611032664305
125,,296.338257,-14.808908,17.41,,16.5,,16.05,,C,0.10849869442991374
126,,296.100708,-14.828527,16.72,,15.96,,15.64,,C,0.13205195838383227
127,,296.129822,-14.832311,17.56,,16.74,,16.49,,C,0.10475926004418745
128,,296.084503,-14.832314,17.5,,16.6,,16.15,,C,0.14868904379613868
129,,296.434357,-14.834667,17.48,,16.72,,16.32,,C,0.207003829573231
130,,296.30838,-14.840508,17.25,,16.46,,16.08,,C,0.08747465143684258
131,,296.173828,-14.855554,17.84,,16.97,,16.65,,C,0.07783815927936899
132,,296.080383,-14.858717,16.31,,15.7,,15.29,,C,0.1601237237201611
133,,296.28244,-14.868937,17.48,,16.72,,16.55,,C,0.08529245505318218
134,,296.236908,-14.87212,18.02,,17.07,,16.82,,C,0.07078787300096168
135,,296.096558,-14.8814,17.98,,17.19,,17.03,,C,0.15544658331401354
136,,296.261414,-14.883708,17.94,,17.07,,16.79,,C,0.08784687154360765
137,,296.431213,-14.889406,17.33,,16.48,,16.18,,C,0.2195091730771135
138,,296.163086,-14.894488,16.75,,15.88,,15.44,,C,0.11442318174216194
139,,296.118591,-14.89873,16.89,,16.03,,15.73,,C,0.14775861694333936
140,,296.251007,-14.9064,17.96,,17.09,,16.77,,C,0.1068160425638391
141,,296.35376,-14.912353,17.22,,16.35,,15.96,,C,0.16603392451243523
142,,296.223907,-14.922441,17.22,,16.33,,15.81,,C,0.12092460084697465
143,,296.332458,-14.951111,17.76,,16.91,,16.48,,C,0.1811912090720486
144,,296.034485,-14.951339,17.57,,16.71,,16.39,,C,0.2462253536620477
145,,296.345795,-14.960103,16.91,,16.07,,15.72,,C,0.19623836911775985
146,,296.33786,-14.988564,16.73,,15.73,,15.19,,C,0.21578495507331252
147,,296.281311,-14.988667,17.16,,16.35,,16.07,,C,0.19390899084364235
148,,296.204498,-14.674287,18.32,,17.55,,17.28,,C,0.12991066427742137
149,,296.247101,-14.722958,18.13,,17.27,,17.03,,C,0.08054826593415174
150,,296.244446,-14.75467,17.25,,16.49,,16.22,,C,0.049169979825080756
151,,296.350891,-14.757086,16.98,,16.22,,15.85,,C,0.12885017243680055
152,,296.234558,-14.767653,16.96,,16.04,,15.62,,C,0.034321008915819996
153,,296.290405,-14.774523,17.63,,16.84,,16.69,,C,0.06622479621712943
154,,296.278412,-14.780069,17.65,,16.54,,15.76,,C,0.05301249800753165
155,,296.352264,-14.780713,17.09,,16.3,,15.76,,C,0.12404709406105943
156,,296.229034,-14.781347,17.61,,16.51,,15.94,,C,0.020345945173424286
157,,296.213776,-14.783867,17.89,,17.08,,16.72,,C,0.02408661422866836
158,,296.257843,-14.793209,17.91,,17.14,,16.88,,C,0.029100191923729177
159,,296.208191,-14.797331,17.67,,16.91,,16.45,,C,0.02223644310587511
160,,296.184326,-14.799191,17.83,,17.03,,16.78,,C,0.04574122557389319
161,,296.274109,-14.800164,17.57,,16.75,,16.4,,C,0.04413470195888116
162,,296.251343,-14.803117,17.41,,16.5,,16.15,,C,0.021391995185117096
163,,296.191315,-14.818703,16.95,,16.05,,15.64,,C   ,0.042268810179650916
164,,296.212616,-14.82485,17.39,,16.56,,16.25,,C   ,0.028974400011039857
165,,296.182983,-14.828946,17.6,,16.81,,16.58,,C   ,0.054356034301664545
166,,296.233093,-14.830748,17.39,,16.6,,16.31,,C   ,0.02924203708704091
167,,296.241516,-14.846167,18.41,,17.3,,16.36,,C   ,0.0459630423818891
168,,296.234772,-14.862573,17.71,,16.99,,16.68,,C   ,0.06108966682672275
169,,296.153625,-14.886689,18.0,,17.21,,16.92,,C   ,0.11428635520483826
170,,296.183685,-14.962144,18.24,,17.33,,16.82,,C   ,0.16702390218468596
171,,296.190338,-14.641755,17.59,,16.78,,16.4,,C   ,0.164760072435653
172,,296.32608,-14.666169,17.58,,16.8,,16.51,,C   ,0.1661080594101158
173,,296.335388,-14.681108,18.39,,17.51,,17.1,,C   ,0.16013065411719563
174,,296.539612,-14.704988,17.59,,16.48,,15.73,,C   ,0.3243562850754928
175,,296.099152,-14.708244,17.48,,16.63,,16.27,,C   ,0.16077815952424518
176,,296.374054,-14.711063,17.55,,16.85,,16.52,,C   ,0.17017985593187904
177,,296.075775,-14.711885,18.14,,17.39,,17.1,,C   ,0.17845642843562354
178,,296.341431,-14.712852,17.32,,16.39,,15.85,,C   ,0.1424973855374053
179,,296.110779,-14.725801,17.15,,16.18,,15.45,,C   ,0.1413143729491416
180,,295.977081,-14.726664,17.58,,16.77,,16.22,,C   ,0.26380659695506115
181,,296.08786,-14.740214,17.23,,18.14,,15.9,,C   ,0.15485677103701806
182,,296.171387,-14.745203,18.02,,17.23,,16.97,,C   ,0.08138799578564553
183,,296.342804,-14.764064,18.2,,17.41,,17.02,,C   ,0.11890733220452025
184,,296.106384,-14.767224,17.62,,16.8,,16.58,,C   ,0.1283255328140373
185,,296.304626,-14.767883,17.76,,17.03,,16.59,,C   ,0.08191825953348267
