,Ra(J2000) deg,Dec(J2000) deg,Wyder,Bulge,Body,Bulge_Center,Bulge_North,Bulge_South
0,296.18398,-14.78018,0,1,0,1,0,0
1,296.25229,-14.78475,1,1,0,1,0,0
2,296.20415,-14.63486,0,0,0,0,0,0
3,296.22364,-14.77473,1,1,0,1,0,0
4,296.21816,-14.88035,1,1,0,0,0,1
5,296.21322,-14.68097,0,0,1,0,1,0
6,296.25088,-14.76786,1,1,0,1,0,0
7,296.18801,-14.87231,0,0,1,0,0,1
8,296.26702,-14.76311,1,1,0,1,0,0
9,296.21293,-14.73224,0,1,0,0,1,0
10,296.20389,-14.75535,0,1,0,0,1,0
11,296.23639,-14.83054,1,1,0,1,0,0
12,296.18011,-14.71067,0,0,1,0,0,0
13,296.28567,-14.73952,0,0,1,0,1,0
14,296.21027,-14.75973,1,1,0,1,0,0
15,296.18048,-14.80431,0,1,0,1,0,0
16,296.17438,-14.83893,0,1,0,0,0,1
17,296.29065,-14.69641,0,0,1,0,0,0
18,296.17703,-14.71031,0,0,1,0,0,0
19,296.21802,-14.92573,0,0,1,0,0,1
20,296.23352,-14.80653,1,1,0,1,0,0
21,296.27563,-14.74923,0,1,0,0,1,0
22,296.19489,-14.82267,0,1,0,1,0,0
23,296.17468,-14.79389,0,1,0,1,0,0
24,296.30014,-14.87872,0,0,1,0,0,0
25,296.22632,-14.72554,1,1,0,0,1,0
26,296.19647,-14.70265,0,0,1,0,1,0
27,296.30347,-14.74166,0,0,1,0,0,0
28,296.17462,-14.78854,0,1,0,1,0,0
29,296.19916,-14.8616,1,1,0,0,0,1
30,296.21259,-14.80142,1,1,0,1,0,0
31,296.18277,-14.74815,0,1,0,0,1,0
32,296.21729,-14.77647,1,1,0,1,0,0
33,296.22229,-14.90997,0,0,1,0,0,1
34,296.22934,-14.65254,0,0,1,0,0,0
35,296.24048,-14.84939,0,1,0,0,0,1
36,296.29919,-14.69143,0,0,1,0,0,0
37,296.17957,-14.77527,0,1,0,1,0,0
38,296.24246,-14.91158,0,0,1,0,0,1
39,296.23649,-14.85697,1,1,0,0,0,1
40,296.22876,-14.79337,1,1,0,1,0,0
41,296.2464,-14.73473,1,1,0,0,1,0
42,296.24295,-14.83836,0,1,0,1,0,0
43,296.26687,-14.74039,0,1,0,0,1,0
44,296.23883,-14.87026,1,1,0,0,0,1
45,296.26569,-14.72024,1,0,1,0,1,0
46,296.21774,-14.78943,0,1,0,1,0,0
47,296.29114,-14.6977,0,0,1,0,0,0
48,296.21661,-14.79057,0,1,0,1,0,0
49,296.29965,-14.69757,0,0,1,0,0,0
50,296.28125,-14.67393,0,0,1,0,0,0
51,296.28897,-14.81087,0,1,0,1,0,0
52,296.25732,-14.77645,1,1,0,1,0,0
53,296.25696,-14.83051,0,1,0,1,0,0
54,296.19858,-14.71837,0,0,1,0,1,0
55,296.19682,-14.75119,0,1,0,0,1,0
56,296.28424,-14.80892,0,1,0,1,0,0
57,296.21631,-14.83196,1,1,0,1,0,0
58,296.29793,-14.74687,0,0,1,0,0,0
59,296.25891,-14.88796,0,0,1,0,0,1
60,296.17892,-14.82286,0,1,0,1,0,0
61,296.21545,-14.83469,1,1,0,1,0,0
62,296.27341,-14.80861,0,1,0,1,0,0
63,296.28308,-14.80497,0,1,0,1,0,0
64,296.25427,-14.81764,1,1,0,1,0,0
65,296.19156,-14.89296,0,0,1,0,0,1
66,296.25522,-14.82579,0,1,0,1,0,0
67,296.29922,-14.8365,0,0,1,0,0,0
68,296.19168,-14.82965,0,1,0,1,0,0
69,296.28415,-14.81194,0,1,0,1,0,0
70,296.23456,-14.7733,1,1,0,1,0,0
71,296.20154,-14.81282,0,1,0,1,0,0
72,296.18323,-14.76308,0,1,0,0,1,0
73,296.27222,-14.76143,1,1,0,0,1,0
74,296.22778,-14.76111,1,1,0,1,0,0
75,296.27774,-14.82287,0,1,0,1,0,0
76,296.24905,-14.81619,1,1,0,1,0,0
77,296.25348,-14.76936,1,1,0,1,0,0
78,296.24728,-14.76419,1,1,0,1,0,0
79,296.24246,-14.82114,1,1,0,1,0,0
80,296.17993,-14.75767,0,1,0,0,1,0
81,296.27051,-14.73481,0,0,1,0,1,0
82,296.18378,-14.68249,0,0,1,0,0,0
83,296.2677,-14.68061,0,0,1,0,0,0
84,296.17764,-14.6424,0,0,0,0,0,0
85,296.26511,-14.96155,0,0,0,0,0,0
86,296.21112,-14.91074,0,0,1,0,0,1
87,296.30179,-14.90356,0,0,1,0,0,0
88,296.18011,-14.75091,0,1,0,0,1,0
89,296.22681,-14.75065,1,1,0,0,1,0
90,296.23346,-14.74996,1,1,0,0,1,0
91,296.24622,-14.86655,0,1,0,0,0,1
92,296.26105,-14.73764,0,1,0,0,1,0
93,296.2731,-14.75146,0,1,0,0,1,0
94,296.22696,-14.80191,1,1,0,1,0,0
95,296.24005,-14.80796,1,1,0,1,0,0
96,296.24301,-14.74652,1,1,0,0,1,0
97,296.22287,-14.71018,0,0,1,0,1,0
98,296.22888,-14.72012,1,1,0,0,1,0
99,296.22033,-14.72841,0,1,0,0,1,0
100,296.12738,-14.73369,0,0,1,0,0,0
101,296.31088,-14.73645,0,0,1,0,0,0
102,296.28564,-14.74075,0,0,1,0,1,0
103,296.18609,-14.7787,0,1,0,1,0,0
104,296.24578,-14.7865,0,1,0,1,0,0
105,296.23651,-14.79789,1,1,0,1,0,0
106,296.22512,-14.86821,1,1,0,0,0,1
107,296.21267,-14.87307,1,1,0,0,0,1
108,296.117004,-14.632751,0,0,0,0,0,0
109,296.233887,-14.671288,0,0,1,0,1,0
110,296.259827,-14.684196,0,0,1,0,1,0
111,296.411377,-14.685686,0,0,0,0,0,0
112,296.156006,-14.687428,0,0,1,0,0,0
113,296.179413,-14.688039,0,0,1,0,0,0
114,296.248596,-14.689795,0,0,1,0,1,0
115,296.350922,-14.720666,0,0,1,0,0,0
116,296.375854,-14.73088,0,0,0,0,0,0
117,296.436554,-14.743853,0,0,0,0,0,0
118,296.485382,-14.756809,0,0,0,0,0,0
119,296.131714,-14.759347,0,0,1,0,0,0
120,296.112915,-14.776258,0,0,1,0,0,0
121,296.152313,-14.788395,0,0,1,0,0,0
122,296.283356,-14.789384,1,1,0,1,0,0
123,296.374786,-14.798067,0,0,1,0,0,0
124,296.170349,-14.798781,0,1,0,1,0,0
125,296.073059,-14.801702,0,0,1,0,0,0
126,296.160095,-14.802064,0,0,1,0,0,0
127,296.338257,-14.808908,0,0,1,0,0,0
128,296.100708,-14.828527,0,0,1,0,0,0
129,296.129822,-14.832311,0,0,1,0,0,0
130,296.084503,-14.832314,0,0,1,0,0,0
131,296.434357,-14.834667,0,0,0,0,0,0
132,296.30838,-14.840508,0,0,1,0,0,0
133,296.173828,-14.855554,0,0,1,0,0,1
134,296.080383,-14.858717,0,0,1,0,0,0
135,296.28244,-14.868937,0,0,1,0,0,1
136,296.236908,-14.87212,1,1,0,0,0,1
137,296.096558,-14.8814,0,0,1,0,0,0
138,296.261414,-14.883708,0,0,1,0,0,1
139,296.431213,-14.889406,0,0,0,0,0,0
140,296.163086,-14.894488,0,0,1,0,0,0
141,296.118591,-14.89873,0,0,1,0,0,0
142,296.251007,-14.9064,0,0,1,0,0,1
143,296.35376,-14.912353,0,0,0,0,0,0
144,296.223907,-14.922441,0,0,1,0,0,1
145,296.332458,-14.951111,0,0,0,0,0,0
146,296.034485,-14.951339,0,0,0,0,0,0
147,296.345795,-14.960103,0,0,0,0,0,0
148,296.33786,-14.988564,0,0,0,0,0,0
149,296.281311,-14.988667,0,0,0,0,0,0
150,296.204498,-14.674287,0,0,1,0,0,0
151,296.247101,-14.722958,1,1,0,0,1,0
152,296.244446,-14.75467,1,1,0,0,1,0
153,296.350891,-14.757086,0,0,1,0,0,0
154,296.234558,-14.767653,1,1,0,1,0,0
155,296.290405,-14.774523,0,1,0,0,1,0
156,296.278412,-14.780069,1,1,0,1,0,0
157,296.352264,-14.780713,0,0,1,0,0,0
158,296.229034,-14.781347,1,1,0,1,0,0
159,296.213776,-14.783867,0,1,0,1,0,0
160,296.257843,-14.793209,1,1,0,1,0,0
161,296.208191,-14.797331,0,1,0,1,0,0
162,296.184326,-14.799191,0,1,0,1,0,0
163,296.274109,-14.800164,0,1,0,1,0,0
164,296.251343,-14.803117,1,1,0,1,0,0
165,296.191315,-14.818703,0,1,0,1,0,0
166,296.212616,-14.82485,1,1,0,1,0,0
167,296.182983,-14.828946,0,1,0,1,0,0
168,296.233093,-14.830748,1,1,0,1,0,0
169,296.241516,-14.846167,0,1,0,1,0,0
170,296.234772,-14.862573,1,1,0,0,0,1
171,296.153625,-14.886689,0,0,1,0,0,0
172,296.183685,-14.962144,0,0,0,0,0,0
173,296.190338,-14.641755,0,0,0,0,0,0
174,296.32608,-14.666169,0,0,0,0,0,0
175,296.335388,-14.681108,0,0,1,0,0,0
176,296.099152,-14.708244,0,0,0,0,0,0
177,296.374054,-14.711063,0,0,0,0,0,0
178,296.075775,-14.711885,0,0,0,0,0,0
179,296.341431,-14.712852,0,0,1,0,0,0
180,296.110779,-14.725801,0,0,1,0,0,0
181,296.08786,-14.740214,0,0,1,0,0,0
182,296.171387,-14.745203,0,0,1,0,1,0
183,296.342804,-14.764064,0,0,1,0,0,0
184,296.106384,-14.767224,0,0,1,0,0,0
185,296.304626,-14.767883,1,0,1,0,0,0
186,296.333038,-14.770712,1,0,1,0,0,0
187,296.162018,-14.82305,0,0,1,0,0,0
188,296.167816,-14.842195,0,0,1,0,0,1
189,296.066071,-14.844581,0,0,0,0,0,0
190,296.364624,-14.865284,0,0,1,0,0,0
191,296.297241,-14.869897,0,0,1,0,0,0
192,296.207458,-14.896397,0,0,1,0,0,1
193,296.368011,-14.913227,0,0,0,0,0,0
194,296.06134,-14.955141,0,0,0,0,0,0
195,296.337067,-14.850516,0,0,1,0,0,0
196,296.354126,-14.855531,0,0,1,0,0,0
197,296.369537,-14.872893,0,0,1,0,0,0
198,296.316101,-14.679276,0,0,1,0,0,0
199,296.343781,-14.74656,0,0,1,0,0,0
200,296.363739,-14.759742,0,0,1,0,0,0
201,296.313934,-14.783896,1,0,1,0,0,0
202,296.193542,-14.678253,0,0,1,0,0,0
203,296.184784,-14.717754,0,0,1,0,1,0
204,296.138214,-14.72313,0,0,1,0,0,0
205,296.197662,-14.763362,0,1,0,1,0,0
206,296.208893,-14.769947,1,1,0,1,0,0
207,296.206879,-14.785284,0,1,0,1,0,0
208,296.180084,-14.825297,0,1,0,1,0,0
209,296.212219,-14.830112,1,1,0,1,0,0
210,296.194489,-14.842676,0,1,0,0,0,1
211,296.202057,-14.847754,0,1,0,0,0,1
212,296.164886,-14.853178,0,0,1,0,0,0
213,296.179565,-14.858191,0,0,1,0,0,1
214,296.188385,-14.861088,0,1,0,0,0,1
215,296.178772,-14.868636,0,0,1,0,0,1
216,296.204865,-14.8711,1,1,0,0,0,1
217,296.168549,-14.87782,0,0,1,0,0,0
218,296.116089,-14.881053,0,0,1,0,0,0
219,296.092773,-14.892178,0,0,0,0,0,0
220,296.206696,-14.92662,0,0,1,0,0,0
221,296.351776,-14.830035,0,0,1,0,0,0
222,296.345673,-14.834577,0,0,1,0,0,0
223,296.365814,-14.852487,0,0,1,0,0,0
224,296.346741,-14.855356,0,0,1,0,0,0
225,296.293854,-14.708783,0,0,1,0,0,0
226,296.262848,-14.76875,1,1,0,1,0,0
227,296.299103,-14.783449,0,0,1,0,0,0
228,296.134644,-14.67692,0,0,1,0,0,0
229,296.121368,-14.679315,0,0,0,0,0,0
230,296.170105,-14.696488,0,0,1,0,0,0
231,296.20285,-14.700215,0,0,1,0,1,0
232,296.198029,-14.719869,0,0,1,0,1,0
233,296.151001,-14.726998,0,0,1,0,0,0
234,296.159454,-14.733295,0,0,1,0,0,0
235,296.179321,-14.742605,0,0,1,0,1,0
236,296.207184,-14.745038,0,1,0,0,1,0
237,296.179443,-14.752915,0,1,0,0,1,0
238,296.181671,-14.7577,0,1,0,0,1,0
239,296.202637,-14.773767,0,1,0,1,0,0
240,296.194275,-14.821965,0,1,0,1,0,0
241,296.170105,-14.844587,0,0,1,0,0,1
242,296.156158,-14.860965,0,0,1,0,0,0
243,296.171783,-14.865685,0,0,1,0,0,0
244,296.112885,-14.868258,0,0,1,0,0,0
245,296.178711,-14.876316,0,0,1,0,0,1
246,296.155457,-14.878673,0,0,1,0,0,0
247,296.19754,-14.883656,0,0,1,0,0,1
248,296.201691,-14.886331,0,0,1,0,0,1
249,296.089813,-14.905375,0,0,0,0,0,0
250,296.17276,-14.922873,0,0,1,0,0,0
251,296.233276,-14.808039,1,1,0,1,0,0
252,296.209412,-14.569217,0,0,0,0,0,0
253,296.193878,-14.664783,0,0,1,0,0,0
254,296.040436,-14.607334,0,0,0,0,0,0
255,295.99939,-14.635953,0,0,0,0,0,0
256,296.051239,-14.72685,0,0,0,0,0,0
257,296.014832,-14.769041,0,0,0,0,0,0
258,296.042908,-14.782191,0,0,0,0,0,0
259,296.021149,-14.796692,0,0,0,0,0,0
260,296.426727,-14.754023,0,0,0,0,0,0
261,296.442505,-14.762609,0,0,0,0,0,0
262,296.480835,-14.801933,0,0,0,0,0,0
263,296.51123,-14.584842,0,0,0,0,0,0
264,296.521149,-14.614511,0,0,0,0,0,0
265,296.326508,-14.641376,0,0,0,0,0,0
266,296.263336,-14.708953,1,0,1,0,1,0
267,296.264954,-14.715384,1,0,1,0,1,0
268,296.280762,-14.726241,0,0,1,0,1,0
269,296.31192,-14.728691,0,0,1,0,0,0
270,296.318024,-14.739033,0,0,1,0,0,0
271,296.283783,-14.741738,0,0,1,0,1,0
272,296.339813,-14.745103,0,0,1,0,0,0
273,296.276062,-14.751641,0,1,0,0,1,0
274,296.252136,-14.757003,0,1,0,0,1,0
275,296.248871,-14.764977,1,1,0,1,0,0
276,296.330048,-14.767764,1,0,1,0,0,0
277,296.261536,-14.769683,1,1,0,1,0,0
278,296.301117,-14.779015,1,0,1,0,0,0
279,296.307007,-14.784284,1,0,1,0,0,0
280,296.238708,-14.806007,1,1,0,1,0,0
281,296.479218,-14.974156,0,0,0,0,0,0
282,296.462311,-14.852363,0,0,0,0,0,0
283,296.461395,-14.854693,0,0,0,0,0,0
284,296.479126,-14.883121,0,0,0,0,0,0
285,296.47525,-14.898197,0,0,0,0,0,0
286,296.251434,-14.798083,0,1,0,1,0,0
287,296.297028,-14.802626,0,0,1,0,0,0
288,296.256256,-14.807403,0,1,0,1,0,0
289,296.244385,-14.810474,1,1,0,1,0,0
290,296.244141,-14.813117,1,1,0,1,0,0
291,296.259552,-14.815343,0,1,0,1,0,0
292,296.259796,-14.82215,0,1,0,1,0,0
293,296.259155,-14.832942,0,1,0,1,0,0
294,296.257324,-14.837327,0,1,0,1,0,0
295,296.257874,-14.842669,0,1,0,1,0,0
296,296.244781,-14.845008,0,1,0,1,0,0
297,296.262543,-14.847853,0,1,0,0,0,1
298,296.337067,-14.850516,0,0,1,0,0,0
299,296.275482,-14.853798,0,1,0,0,0,1
300,296.278717,-14.858888,0,0,1,0,0,1
301,296.261169,-14.861171,0,1,0,0,0,1
302,296.309265,-14.868592,0,0,1,0,0,0
303,296.289734,-14.876258,0,0,1,0,0,0
304,296.262299,-14.882443,0,0,1,0,0,1
305,296.294189,-14.884681,0,0,1,0,0,0
306,296.263153,-14.89839,0,0,1,0,0,1
307,296.266968,-14.910404,0,0,1,0,0,1
308,296.286987,-14.962574,0,0,0,0,0,0
309,296.289246,-14.965583,0,0,0,0,0,0
310,296.311035,-14.973057,0,0,0,0,0,0
311,296.334747,-14.99367,0,0,0,0,0,0
312,296.325409,-14.997616,0,0,0,0,0,0
313,296.250244,-15.015092,0,0,0,0,0,0
314,296.216919,-14.990644,0,0,0,0,0,0
315,296.219086,-14.802538,1,1,0,1,0,0
316,296.16803,-14.836925,0,0,1,0,0,1
317,296.22171,-14.839417,1,1,0,1,0,0
318,296.204712,-14.849141,1,1,0,0,0,1
319,296.187256,-14.854028,0,1,0,0,0,1
320,296.227081,-14.876891,1,1,0,0,0,1
321,296.226807,-14.881382,1,1,0,0,0,1
322,296.051331,-14.866667,0,0,0,0,0,0
323,296.048126,-14.899792,0,0,0,0,0,0
324,296.028839,-14.902554,0,0,0,0,0,0
325,296.044067,-14.905341,0,0,0,0,0,0
326,296.003693,-14.974893,0,0,0,0,0,0
327,295.993561,-14.990264,0,0,0,0,0,0
328,296.02005,-15.036669,0,0,0,0,0,0
329,296.021637,-15.045016,0,0,0,0,0,0
