Sp,Seq,RAJ2000,DEJ2000,Dist,Rmag,Jmag,Hmag,Kmag,SpTph,SpType,q_SpType,Nsp,Simbad
sp,101729,296.311371,-14.891082,0.112663,20.479,18.094,17.327,17.085,M  ,--      ,4,1,Simbad
sp,102279,296.244232,-14.895714,0.092356,19.118,17.515,16.678,16.557,M  ,--      ,4,1,Simbad
sp,102581,296.263153,-14.89839,0.097604,20.287,18.173,17.307,17.075,M  ,C5.5    ,6,1,Simbad
sp,103184,296.328705,-14.9036,0.13341,20.209,17.888,16.952,16.837,M  ,M2III   ,5,1,Simbad
sp,103500,296.251007,-14.906404,0.1035,21.548,17.965,17.086,16.77,C  ,C5.5    ,5,1,Simbad
sp,103941,296.266968,-14.910404,0.110179,21.533,17.84,16.579,15.701,C  ,C8.2    ,5,1,Simbad
sp,107639,296.340912,-14.947414,0.175488,19.853,17.775,16.908,16.764,M  ,M1III   ,5,1,Simbad
sp,107895,296.306091,-14.950318,0.160831,19.69,17.745,16.944,16.937,M  ,M1III   ,5,1,Simbad
sp,108813,296.345795,-14.960103,0.188718,19.234,16.906,16.073,15.723,C  ,C5.5    ,5,1,Simbad
sp,109046,296.286987,-14.962574,0.16577,20.207,17.446,16.297,15.629,C  ,C6.5    ,6,1,Simbad
sp,109316,296.289246,-14.965583,0.169296,18.844,17.313,16.713,16.45,M  ,C       ,4,1,Simbad
sp,109686,296.309082,-14.969496,0.179636,20.771,18.226,17.768,17.287,M  ,dM3.5   ,5,1,Simbad
sp,110010,296.311035,-14.973057,0.183674,20.228,17.364,16.349,15.704,C  ,C6.5    ,5,1,Simbad
sp,111073,296.359039,-14.984733,0.216567,19.334,17.425,16.754,16.575,M  ,dM1.5   ,6,1,Simbad
sp,111423,296.281311,-14.988668,0.189661,19.22,17.16,16.346,16.07,M  ,C5.5    ,6,1,Simbad
sp,111671,296.32428,-14.991217,0.205592,20.466,18.02,17.453,17.201,M  ,dM3     ,6,1,Simbad
sp,111889,296.334747,-14.99367,0.212266,21.401,17.319,16.239,15.529,C  ,C6.5    ,6,1,Simbad
sp,112261,296.325409,-14.997616,0.211902,19.962,17.49,16.614,16.124,C  ,C5.5    ,5,1,Simbad
sp,112435,296.286377,-14.99973,0.20157,19.476,17.827,17.274,17.038,M  ,dM0     ,5,1,Simbad
sp,112686,296.303833,-15.00228,0.208665,19.381,17.512,16.745,16.488,M  ,M0III   ,4,1,Simbad
sp,112903,296.305145,-15.004685,0.211355,20.028,18.013,17.666,17.264,M  ,dM1.5   ,5,1,Simbad
sp,113115,296.318451,-15.007016,0.217967,21.764,18.252,17.611,17.427,M  ,M5III   ,5,1,Simbad
sp,113364,296.260254,-15.00941,0.206917,20.194,17.864,17.292,17.027,M  ,dM3     ,5,1,Simbad
sp,113623,296.352936,-15.012109,0.236999,20.737,18.009,17.535,17.204,M  ,dM3.5   ,5,1,Simbad
sp,113878,296.250244,-15.015092,0.211882,22.244,18.436,17.14,15.842,C  ,C8.2    ,5,1,Simbad
sp,114236,296.329254,-15.018955,0.23305,19.013,17.125,16.488,16.326,M  ,dM1.5   ,6,1,Simbad
sp,114897,296.335785,-15.026363,0.242408,18.65,17.007,16.337,16.189,M  ,dM1.5   ,6,1,Simbad
sp,115382,296.281281,-15.032146,0.232308,20.944,17.265,16.706,16.274,M  ,dM4.5   ,5,1,Simbad
sp,115893,296.276825,-15.037701,0.237057,20.411,18.149,17.518,17.245,M  ,dM3     ,5,1,Simbad
sp,116640,296.297333,-15.04544,0.248574,21.073,17.954,17.349,17.134,M  ,dM4     ,5,1,Simbad
sp,117022,296.25589,-15.049867,0.246912,19.396,18.195,17.664,17.39,M  ,dK7     ,5,1,Simbad
sp,117340,296.259125,-15.054071,0.251326,21.035,18.17,17.559,17.261,M  ,dM      ,5,1,Simbad
sp,117545,296.255951,-15.05637,0.253406,20.322,17.074,16.496,16.19,M  ,dM4.5   ,6,1,Simbad
sp,108786,296.208069,-14.959845,0.15976,20.334,18.136,17.238,17.009,M  ,M       ,4,1,Simbad
sp,111185,296.230438,-14.986133,0.182985,20.142,18.298,17.577,17.414,M  ,M       ,4,1,Simbad
sp,111623,296.216919,-14.990644,0.188705,20.257,17.631,16.691,16.218,C  ,C5.5    ,6,1,Simbad
sp,112118,296.194397,-14.995967,0.198001,19.78,17.771,17.163,16.854,M  ,dM3     ,5,1,Simbad
sp,112577,296.217194,-15.001184,0.199134,20.855,18.346,17.578,17.201,M  ,dM4.5   ,5,1,Simbad
sp,113378,296.196259,-15.009543,0.210827,21.177,18.098,17.5,17.103,M  ,dM      ,4,1,Simbad
sp,113721,296.211914,-15.013387,0.211907,18.965,16.706,16.173,15.871,M  ,dM3     ,6,1,Simbad
sp,90920,296.219086,-14.802538,0.021522,20.155,17.309,16.477,15.994,C  ,C5.5    ,5,1,Simbad
sp,92178,296.224152,-14.812045,0.018559,21.067,17.551,16.689,16.48,M  ,M4III   ,4,1,Simbad
sp,94985,296.215454,-14.834577,0.040025,19.666,17.326,16.508,16.257,M  ,S       ,4,1,Simbad
sp,95289,296.16803,-14.836925,0.079918,21.08,18.081,16.862,15.934,C  ,C6.5    ,6,1,Simbad
sp,95602,296.22171,-14.839417,0.040639,20.663,17.929,17,16.501,C  ,C5.5    ,5,1,Simbad
sp,96812,296.204712,-14.849141,0.05811,20.326,17.306,16.262,15.565,C  ,C6.5    ,6,1,Simbad
sp,97422,296.187256,-14.854028,0.073517,20.617,18.166,17.224,16.937,C  ,C5.5    ,6,1,Simbad
sp,97682,296.205139,-14.856238,0.063604,19.475,17.242,16.469,16.279,M  ,M0III   ,5,1,Simbad
sp,97984,296.185944,-14.858833,0.077819,20.109,17.79,16.917,16.746,M  ,M2III   ,5,1,Simbad
sp,99216,296.223785,-14.869195,0.067879,19.977,17.82,17.072,16.915,M  ,M0.5III ,5,1,Simbad
sp,100106,296.227081,-14.876891,0.074693,20.122,17.543,16.457,15.858,C  ,C5.5    ,5,1,Simbad
sp,100585,296.226807,-14.881382,0.079162,21.294,17.365,16.369,15.908,C  ,C       ,4,1,Simbad
sp,101946,296.191498,-14.892875,0.102032,21.547,17.543,16.658,16.433,M  ,S       ,5,1,Simbad
sp,90134,295.976105,-14.796489,0.264576,20.471,18.25,17.411,17.052,C  ,M1III   ,5,1,Simbad
sp,90520,296.043884,-14.799508,0.196745,20.468,17.434,16.746,16.545,M  ,dM3.5   ,5,2,Simbad
sp,90866,295.962311,-14.802186,0.278282,21.05,17.69,17.183,16.897,M  ,dM3.5   ,5,1,Simbad
sp,91427,295.960724,-14.806342,0.279881,22.188,17.602,17.019,16.665,M  ,dM6 e   ,6,1,Simbad
sp,92657,296.035767,-14.815892,0.205202,22.154,17.822,16.895,16.774,M  ,M1III   ,5,1,Simbad
sp,93057,295.963165,-14.819047,0.277864,20.283,17.948,17.251,17.002,M  ,dM2     ,5,1,Simbad
sp,94035,295.977814,-14.826708,0.263805,19.779,17.06,16.466,16.2,M  ,dM3     ,5,1,Simbad
sp,94682,296.026215,-14.832167,0.216293,19.749,17.658,16.99,16.899,M  ,dM1.5   ,5,1,Simbad
sp,95365,296.029327,-14.837542,0.213999,20.596,18.035,17.423,17.198,M  ,dM3.5   ,4,1,Simbad
sp,95693,295.994385,-14.840031,0.248911,19.86,18.069,17.356,17.191,M  ,--      ,4,1,Simbad
sp,96052,295.974335,-14.842854,0.269158,22.364,17.51,16.839,16.574,M  ,dM      ,4,1,Simbad
sp,96411,296.010468,-14.845939,0.234015,21.302,18.142,17.684,17.415,M  ,dM      ,4,1,Simbad
sp,97334,295.98175,-14.853352,0.26361,19.852,17.882,17.04,16.8,M  ,M0III   ,5,1,Simbad
sp,97603,296.020447,-14.855683,0.22626,20.116,18.329,17.354,17.394,M  ,M0III   ,5,1,Simbad
sp,97963,296.024811,-14.858717,0.222749,21.788,17.193,16.613,16.227,M  ,dM6 e   ,6,1,Simbad
sp,98915,296.051331,-14.866667,0.199544,20.285,17.404,16.456,15.876,C  ,C5.5    ,5,1,Simbad
sp,99484,295.942688,-14.871535,0.305588,22.236,17.194,16.398,16.158,M  ,M3III   ,5,1,Simbad
sp,100070,296.023621,-14.876556,0.228961,19.508,17.214,16.658,16.33,M  ,dM2     ,5,1,Simbad
sp,100499,296.000641,-14.880625,0.252061,20.357,17.727,17.24,16.872,M  ,dM3.5   ,4,1,Simbad
sp,100778,296.049103,-14.882938,0.207338,20.125,18.103,17.283,17.111,M  ,M0III   ,5,1,Simbad
sp,101968,296.041718,-14.893066,0.218139,21.246,17.482,16.884,16.529,M  ,dM4     ,5,1,Simbad
sp,102751,296.048126,-14.899792,0.21524,19.983,17.296,16.481,15.876,C  ,C5.5    ,6,1,Simbad
sp,103070,296.028839,-14.902554,0.233804,22.678,17.35,16.164,15.263,C  ,C8.2    ,5,1,Simbad
sp,103381,296.044067,-14.905341,0.221376,20.697,18.504,17.75,17.381,M  ,C5.5    ,6,1,Simbad
sp,107815,296.027344,-14.949381,0.25841,21.766,18.017,17.425,17.123,M  ,dM      ,4,1,Simbad
sp,110171,296.003693,-14.974893,0.292438,20.379,18.392,17.56,17.21,C  ,C5.5    ,5,1,Simbad
sp,110632,296.050873,-14.979843,0.259064,20.933,17.588,16.88,16.654,M  ,dM4.5   ,5,1,Simbad
sp,111079,296.02536,-14.984833,0.28148,21.15,18.051,17.614,17.256,M  ,dM4.5   ,4,1,Simbad
sp,111590,295.993561,-14.990264,0.309726,19.735,17.874,16.702,15.84,C  ,C6.5    ,5,1,Simbad
sp,112033,296.017761,-14.995077,0.293907,19.866,17.849,17.05,16.936,M  ,M1III   ,5,1,Simbad
sp,113019,296.045563,-15.00578,0.281036,19.959,17.29,16.687,16.406,M  ,dM3.5   ,6,1,Simbad
sp,113319,296.036987,-15.009061,0.289376,20.085,17.369,16.648,16.493,M  ,dM3.5   ,6,1,Simbad
sp,113914,295.97934,-15.015457,0.336463,19.019,17.607,16.872,16.668,M  ,dM0     ,6,1,Simbad
sp,114276,295.993744,-15.019435,0.328011,19.883,17.743,17.091,16.938,M  ,dM3     ,6,1,Simbad
sp,114879,296.056305,-15.026172,0.289094,20.169,17.87,17.15,17.096,M  ,dM2     ,5,1,Simbad
sp,115433,296.041931,-15.032643,0.303322,20.7,17.826,17.19,16.948,M  ,dM4.5   ,5,1,Simbad
sp,115804,296.02005,-15.036669,0.320996,19.639,17.751,17.008,16.689,M  ,C8.2    ,5,1,Simbad
sp,115993,295.994659,-15.038876,0.340466,19.993,18.321,17.693,17.438,M  ,dM1.5   ,5,1,Simbad
sp,116596,296.021637,-15.045016,0.326044,19.021,17.04,16.282,16.056,M  ,C5.5    ,5,1,Simbad
sp,116999,295.979401,-15.049569,0.358893,20.682,17.948,17.226,17.089,M  ,dM4.5   ,4,1,Simbad
sp,117181,296.040497,-15.052125,0.319197,19.601,17.159,16.498,16.321,M  ,dM3     ,5,1,Simbad
sp,117434,296.040161,-15.055114,0.32174,20.201,18.43,17.362,17.348,M  ,M       ,4,1,Simbad
sp,55322,297.102814,-14.442153,0.934854,25.65,18.075,17.512,17.107,M  ,--      ,4,1,Simbad
sp,55631,297.181274,-14.445981,1.006308,19.449,18.53,18.264,17.292,C  ,--      ,4,1,Simbad
sp,56243,297.216156,-14.453639,1.036379,19.871,17.765,17.021,16.866,M  ,dM1.5   ,5,1,Simbad
sp,58261,297.155334,-14.481108,0.96987,18.856,18.038,17.259,17.179,M  ,--      ,4,1,Simbad
sp,59120,297.108337,-14.49365,0.921384,17.725,18.191,17.383,16.661,C  ,--      ,4,1,Simbad
sp,59314,297.158966,-14.496314,0.968367,20.093,17.297,16.756,16.449,M  ,dM3     ,5,1,Simbad
sp,59700,297.215637,-14.500302,1.021079,21.48,18.073,17.588,17.286,M  ,dM4     ,4,1,Simbad
sp,60058,297.179169,-14.503994,0.985186,19.245,17.677,16.981,16.811,M  ,dM1.5   ,5,1,Simbad
sp,61046,297.150513,-14.513336,0.955047,21.495,17.78,17.283,16.918,M  ,dM6 e   ,6,1,Simbad
sp,41793,297.161224,-14.292459,1.052928,19.643,17.802,17.075,17.045,M  ,dM1.5   ,5,1,Simbad
sp,42043,297.193909,-14.294868,1.080487,19.562,17.032,16.465,16.212,M  ,dM3     ,6,1,Simbad
sp,42791,297.160309,-14.302498,1.04729,19.652,18.161,17.466,17.205,M  ,dM0     ,5,1,Simbad
sp,43020,297.173523,-14.304831,1.057811,20.25,17.817,17.33,17.05,M  ,dM2     ,5,1,Simbad
sp,43232,297.193878,-14.307225,1.074699,19.726,17.774,17.121,16.909,M  ,dM1.5   ,5,1,Simbad
sp,43515,297.210724,-14.310122,1.088353,20.046,17.649,17.018,16.718,M  ,dM3     ,6,1,Simbad
sp,44628,297.173767,-14.321322,1.050356,21.117,18.275,17.793,17.289,M  ,dM5 e   ,4,1,Simbad
sp,44997,297.204651,-14.32515,1.076181,18.761,17.781,17.125,17.029,M  ,dK7     ,5,1,Simbad
sp,45410,297.171265,-14.329375,1.044454,20.78,17.739,17.068,16.905,M  ,dM4.5 e ,6,1,Simbad
sp,45954,297.149353,-14.33532,1.022241,17.687,17.041,16.773,15.965,M  ,K       ,4,1,Simbad
sp,46279,297.211639,-14.338922,1.076431,20.688,18.101,17.483,17.153,M  ,dM4.53  ,5,1,Simbad
sp,46592,297.161255,-14.3425,1.029602,18.9,16.41,15.743,15.544,M  ,dM3     ,6,1,Simbad
sp,47107,297.206085,-14.347786,1.06761,20.596,17.681,17.074,16.879,M  ,dM3     ,5,1,Simbad
sp,47505,297.139404,-14.352262,1.005693,20.581,18.128,17.665,17.304,M  ,dM3     ,5,1,Simbad
sp,48194,297.153961,-14.360078,1.015287,21.736,17.469,16.917,16.496,M  ,dM6 e   ,6,1,Simbad
sp,49612,297.211029,-14.376673,1.060129,21.67,17.19,16.61,16.226,M  ,dM6 e   ,6,1,Simbad
sp,49967,297.202271,-14.3802,1.050692,20.526,18.048,17.394,17.222,M  ,dM3     ,5,1,Simbad
sp,40802,296.948669,-14.282547,0.879031,19.164,17.247,16.617,16.438,M  ,dM1.5   ,5,1,Simbad
sp,41060,296.952179,-14.285142,0.88033,18.795,17.218,16.602,16.371,M  ,dM0     ,5,1,Simbad
sp,41596,296.991333,-14.290698,0.909125,20.862,17.848,17.314,16.943,M  ,dM3.5   ,5,1,Simbad
sp,42248,297.019135,-14.296878,0.928831,21.572,18.136,17.52,17.298,M  ,dM3.5   ,4,1,Simbad
sp,42535,296.964722,-14.299945,0.881966,19.808,16.726,16.204,15.882,M  ,dM3     ,5,1,Simbad
sp,42901,296.923645,-14.303656,0.846367,19.951,17.635,17.044,16.813,M  ,dM1.5   ,5,1,Simbad
sp,43108,296.936279,-14.305859,0.855313,19.49,17.659,17.029,16.808,M  ,dM1.5   ,5,1,Simbad
sp,43348,296.930145,-14.308464,0.848809,20.577,17.777,17.44,16.951,M  ,dM3     ,5,1,Simbad
sp,43605,297.024963,-14.310925,0.926176,19.963,17.856,17.26,16.923,M  ,dM1.5   ,5,1,Simbad
sp,43915,296.970581,-14.314083,0.878833,20.087,18.075,17.436,17.237,M  ,dM1.5   ,5,1,Simbad
sp,44174,296.938538,-14.317039,0.85071,20.701,17.72,17.069,16.846,M  ,dM3.5   ,5,1,Simbad
sp,45366,297.027313,-14.32887,0.918771,21.988,18.067,17.623,17.274,M  ,dM      ,4,1,Simbad
sp,45624,296.957794,-14.331817,0.858371,20.741,17.547,17.1,16.708,M  ,dM3.5   ,5,1,Simbad
sp,45931,296.995422,-14.335114,0.888308,20.621,17.862,17.323,17.01,M  ,dM3.5   ,5,1,Simbad
sp,46352,296.97406,-14.339691,0.867774,21.622,18.259,17.784,17.415,M  ,dM      ,5,1,Simbad
sp,46864,297.011963,-14.3455,0.89706,19.885,18.038,17.354,16.989,M  ,dM0     ,5,1,Simbad
sp,47209,297.013916,-14.348797,0.897064,20.879,18.201,17.552,16.944,C  ,--      ,4,1,Simbad
sp,47435,296.996124,-14.351164,0.880554,20.997,18.032,17.527,17.282,M  ,dM3     ,4,1,Simbad
sp,48481,296.95752,-14.363795,0.840992,22.152,18.022,17.281,17.01,M  ,dM      ,5,1,Simbad
sp,48886,296.964783,-14.368781,0.844615,19.889,17.611,17,16.747,M  ,dM1.5   ,5,1,Simbad
sp,49384,296.942719,-14.373831,0.823128,21.102,17.839,17.114,16.891,M  ,dM4     ,5,1,Simbad
sp,49732,296.930756,-14.377884,0.810813,21.521,17.241,16.724,16.363,M  ,dM4.5 e ,6,1,Simbad
sp,50075,296.938354,-14.381606,0.815359,20.596,17.528,16.902,16.637,M  ,dM3     ,5,1,Simbad
sp,50524,296.981598,-14.386964,0.850021,21.985,18.128,17.547,17.365,M  ,dM      ,5,1,Simbad
sp,51221,297.006256,-14.394895,0.867839,20.348,18.126,17.297,17.202,M  ,dM3     ,5,1,Simbad
sp,54857,297.025116,-14.436872,0.865936,20.694,17.775,17.192,16.831,M  ,dM3     ,6,1,Simbad
sp,55755,296.974823,-14.447328,0.816031,22.166,17.896,17.283,17.053,M  ,dM      ,4,1,Simbad
sp,56605,297.028107,-14.45823,0.859852,19.843,17.57,17.079,16.704,M  ,dM1.5   ,6,1,Simbad
sp,57180,296.975769,-14.466044,0.808899,18.471,18.236,17.514,17.185,M  ,--      ,4,1,Simbad
sp,57342,297.018646,-14.468082,0.847248,19.104,16.712,16.068,15.835,M  ,dM2     ,5,1,Simbad
sp,57732,296.954742,-14.47366,0.786614,22.591,18.343,17.804,17.385,M  ,K       ,4,1,Simbad
sp,57978,297.014343,-14.477056,0.83977,21.46,18.167,17.555,17.215,M  ,dM      ,4,1,Simbad
sp,58422,296.968933,-14.48323,0.79562,20.872,17.727,17.076,16.816,M  ,dM      ,4,1,Simbad
sp,59131,297.023346,-14.493817,0.841764,21.156,18.165,17.555,17.168,M  ,dM      ,4,1,Simbad
sp,60052,297.016083,-14.503956,0.831309,21.259,18.178,17.632,17.433,M  ,dM      ,4,1,Simbad
sp,60786,297.018768,-14.510902,0.831344,20.503,18.148,17.651,17.346,M  ,dM3     ,5,1,Simbad
sp,61414,296.937805,-14.516788,0.753838,19.436,17.791,17.1,16.94,M  ,dM0     ,5,1,Simbad
sp,61782,297.006958,-14.520561,0.816906,20.277,17.413,16.788,16.564,M  ,dM3     ,5,1,Simbad
sp,62104,297.020477,-14.523369,0.828648,20.379,18.044,17.363,17.141,M  ,dM3     ,5,1,Simbad
sp,62393,296.953674,-14.526256,0.765058,20.05,18.052,17.447,17.269,M  ,dM1.5   ,5,1,Simbad
sp,62691,296.932526,-14.52895,0.744389,18.61,16.632,15.979,15.793,M  ,dM1.5   ,6,1,Simbad
sp,63105,297.018127,-14.533105,0.823188,18.94,17.651,17.046,16.895,M  ,dK7     ,5,1,Simbad
sp,63424,296.975586,-14.536401,0.782,20.393,17.165,16.641,16.351,M  ,dM4.5   ,5,1,Simbad
sp,63663,296.964935,-14.538761,0.771184,18.523,16.722,16.023,15.882,M  ,dM1.5   ,6,1,Simbad
sp,136956,295.645844,-15.270988,0.756527,21.027,18.097,17.564,17.253,M  ,dM3.5   ,4,1,Simbad
sp,139836,295.638458,-15.305284,0.78385,18.308,17.652,16.911,16.703,M  ,dK      ,4,1,Simbad
sp,142268,295.612732,-15.336275,0.823486,18.072,17.83,17.128,16.957,M  ,dK      ,4,1,Simbad
sp,142730,295.644928,-15.342483,0.803363,17.846,17.427,16.796,16.615,M  ,dK      ,4,1,Simbad
sp,143023,295.591583,-15.346883,0.846494,18.352,16.991,16.276,15.991,M  ,dK      ,4,1,Simbad
sp,143950,295.618652,-15.359362,0.834187,21.326,17.498,16.892,16.726,M  ,dK      ,4,1,Simbad
sp,144255,295.584229,-15.363297,0.862706,18.206,17.197,16.553,16.344,M  ,dK      ,4,1,Simbad
sp,128247,295.622314,-15.17592,0.721813,20.969,18.314,17.515,17.276,M  ,M       ,4,1,Simbad
sp,129250,295.683594,-15.186219,0.675849,21.99,18.208,17.596,17.426,M  ,dM      ,4,1,Simbad
sp,126166,295.689667,-15.155052,0.653571,24.553,17.736,16.787,16.428,C  ,--      ,4,1,Simbad
sp,131608,295.688568,-15.211617,0.686546,20.194,17.775,17.153,16.833,M  ,dM0     ,4,1,Simbad
sp,123364,295.460785,-15.123086,0.842779,20.475,18.389,17.712,17.401,M  ,dM      ,5,1,Simbad
sp,124511,295.456573,-15.136149,0.851695,18.275,17.643,16.952,16.724,M  ,dM0     ,5,1,Simbad
sp,125420,295.464996,-15.146566,0.848109,19.33,17.472,16.739,16.559,M  ,dM0     ,5,1,Simbad
sp,130615,295.434204,-15.201089,0.899106,19.391,16.736,16.063,15.827,M  ,--      ,4,1,Simbad
sp,131365,295.503571,-15.209061,0.841269,18.599,18.138,17.388,17.182,M  ,dM0     ,5,1,Simbad
sp,137212,295.485199,-15.273877,0.889908,19.066,17.789,16.997,16.8,M  ,K7III   ,4,1,Simbad
sp,139197,295.416962,-15.29779,0.960602,21.676,18.304,17.561,17.378,M  ,dM      ,4,1,Simbad
