Z,a,b,M validity range (lower limit),M validity range (upper limit),
0.00010,-3.20200,9.76200,,0.12400,
0.00010,-2.69800,9.70000,0.12400,0.36600,
0.00010,-2.35900,9.57500,0.36600,0.60800,
0.00010,-1.98600,9.34900,0.60800,0.85000,
0.00010,-1.67600,9.08500,0.85000,1.09100,
0.00010,-1.25000,8.62100,1.09100,1.33300,
0.00010,-0.87300,8.11800,1.33300,1.57500,
0.00010,-0.60300,7.69300,1.57500,,
0.01200,-3.26600,10.01900,,0.18600,
0.01200,-2.49900,9.87600,0.18600,0.40800,
0.01200,-2.89800,10.03900,0.40800,0.63000,
0.01200,-2.28000,9.65000,0.63000,0.85200,
0.01200,-1.77100,9.21600,0.85200,1.07400,
0.01200,-1.38700,8.80300,1.07400,1.29600,
0.01200,-1.08000,8.40500,1.29600,1.51900,
0.01200,-0.77900,7.94900,1.51900,,
0.01000,-3.25600,9.99300,,0.17900,
0.01000,-2.48200,9.85200,0.17900,0.40300,
0.01000,-2.86500,10.00700,0.40300,0.62600,
0.01000,-2.27200,9.63500,0.62600,0.85000,
0.01000,-1.85200,9.27800,0.85000,1.07300,
0.01000,-1.53100,8.74000,1.07300,1.29700,
0.01000,-0.95500,8.22700,1.29700,1.52000,
0.01000,-0.81900,8.02000,1.52000,,
0.00800,-3.26300,9.96500,,0.17200,
0.00800,-2.48500,9.83000,0.17200,0.39800,
0.00800,-2.81700,9.96200,0.39800,0.62300,
0.00800,-2.22600,9.59400,0.62300,0.84900,
0.00800,-1.83100,9.25800,0.84900,1.07400,
0.00800,-1.35400,8.74600,1.07400,1.30000,
0.00800,-0.90800,8.16600,1.30000,1.52500,
0.00800,-0.80100,8.00400,1.52500,,
0.00015,-3.20500,9.76400,,0.12500,
0.00015,-2.67200,9.69800,0.12500,0.36700,
0.00015,?2.368,9.58600,0.36700,0.60900,
0.00015,?1.996,9.35900,0.60900,0.85100,
0.00015,?1.676,9.08700,0.85100,1.09300,
0.00015,?1.249,8.62000,1.09300,1.33500,
0.00015,?0.871,8.11700,1.33500,1.57600,
0.00015,?0.601,7.69100,1.57600,,
0.00020,-3.20900,9.76600,,0.12600,
0.00020,-2.64500,9.69500,0.12600,0.36800,
0.00020,-2.37700,9.59600,0.36800,0.61000,
0.00020,-2.00600,9.37000,0.61000,0.85200,
0.00020,-1.67500,9.08800,0.85200,1.09400,
0.00020,-1.24800,8.62000,1.09400,1.33600,
0.00020,-0.87000,8.11600,1.33600,1.57800,
0.00020,-0.59900,7.68800,1.57800,,
0.00030,?3.202,9.77200,,0.12800,
0.00030,?2.629,9.69900,0.12800,0.37000,
0.00030,?2.394,9.61200,0.37000,0.61200,
0.00030,?2.007,9.37500,0.61200,0.85400,
0.00030,?1.681,9.09600,0.85400,1.09600,
0.00030,?1.249,8.62300,1.09600,1.33800,
0.00030,?0.869,8.11500,1.33800,1.57900,
0.00030,?0.598,7.68800,1.57900,,
0.00050,?3.178,9.77700,,0.13000,
0.00050,?2.608,9.70300,0.13000,0.37200,
0.00050,?2.415,9.63100,0.37200,0.61400,
0.00050,?2.020,9.38900,0.61400,0.85600,
0.00050,?1.683,9.10100,0.85600,1.09800,
0.00050,?1.247,8.62200,1.09800,1.34000,
0.00050,?0.866,8.11100,1.34000,1.58200,
0.00050,?0.596,7.68500,1.58200,,
0.00080,?3.176,9.79100,,0.13400,
0.00080,?2.587,9.71200,0.13400,0.37500,
0.00080,?2.452,9.66100,0.37500,0.61700,
0.00080,?2.005,9.38500,0.61700,0.85900,
0.00080,?1.684,9.11000,0.85900,1.10100,
0.00080,?1.250,8.63200,1.10100,1.34300,
0.00080,?0.864,8.11400,1.34300,1.58500,
0.00080,?0.605,7.70300,1.58500,,
0.00150,?3.169,9.81700,,0.14100,
0.00150,?2.563,9.73100,0.14100,0.38200,
0.00150,?2.515,9.71300,0.38200,0.62400,
0.00150,?2.012,9.39900,0.62400,0.62400,
0.00150,?1.658,9.09400,0.62400,1.10600,
0.00150,?1.244,8.63600,1.10600,1.34700,
0.00150,?0.873,8.13600,1.34700,1.58800,
0.00150,?0.629,7.74900,1.58800,,
0.00100,?3.174,9.79700,,0.13500,
0.00100,?2.579,9.71600,0.13500,0.37700,
0.00100,?2.466,9.67400,0.37700,0.37700,
0.00100,?2.020,9.39800,0.37700,0.86000,
0.00100,?1.692,9.11600,0.86000,1.10100,
0.00100,?1.249,8.62800,1.10100,1.34200,
0.00100,?0.868,8.11700,1.34200,1.58400,
0.00100,?0.599,7.69100,1.58400,,
0.00300,?3.209,9.86200,,0.15000,
0.00300,?2.520 ,9.75900,0.15000,0.38500,
0.00300,?2.620,9.79700,0.38500,0.62000,
0.00300,?2.091 ,9.46900,0.62000,0.85500,
0.00300,?1.685 ,9.12200,0.85500,1.09000,
0.00300,?1.269,8.66900,1.09000,1.32500,
0.00300,?0.937 ,8.22800,1.32500,1.56000,
0.00300,?0.698 ,7.85600,1.56000,,
0.00200,?3.177 ,9.83200,,0.14300,
0.00200,?2.551 ,9.74200,0.14300,0.38200,
0.00200,?2.550 ,9.74200,0.38200,0.62000,
0.00200,?2.068 ,9.44300,0.62000,0.85900,
0.00200,?1.720 ,9.14400,0.85900,1.09700,
0.00200,?1.260 ,8.63900,1.09700,1.33600,
0.00200,?0.865 ,8.11200,1.33600,1.57400,
0.00200,?0.627,7.73700,1.57400,,
0.00600,-3.25200,9.92900,,0.16400,
0.00600,-2.47900,9.80200,0.16400,0.39200,
0.00600,-2.75300,9.91000,0.39200,0.62100,
0.00600,-2.19400,9.56200,0.62100,0.84900,
0.00600,-1.80000,9.22800,0.84900,1.07700,
0.00600,-1.33800,8.73000,1.07700,1.30500,
0.00600,-0.89800,8.15600,1.30500,1.53400,
0.00600,-0.75600,7.93800,1.53400,,
